age,gender,nationality,qualification,highSchoolGPA,university,selectionCriteria,consideredOthers,secondChoice,satisfaction,universityTags,learningStyle,populationPreference,campusSetting,costImportance,scholarship,living,major,careerGoal,internshipImportance,universityInternship,familyInfluence,friendInfluence,socialMediaInfluence,rankingInfluence
21,Prefer not to say,Other Asian,IB,3.13,NUS,"Job Placement Rate,Reputation,Tuition Fees",No,SMU,6,"Research Oriented,Comprehensive Programs",Hands-On,Small,Urban,6,Yes,Commute,Business Analytics,NGO/Non-profit,9,No,6,3,10,7
23,Female,Indonesian,IB,3.64,NUS,"Specific Course Offerings,Tuition Fees,Reputation",Yes,SMU,9,"Strong Alumni Network,Global Recognition",Lecture-Based,Medium,Urban,4,No,Commute,Arts and Social Sciences,Government,9,No,3,9,3,5
20,Male,Vietnamese,Polytechnic Diploma,3.87,NUS,"Job Placement Rate,Campus Facilities,Reputation",Yes,SMU,7,"Strong Alumni Network,Global Recognition",Hands-On,Large,Urban,6,Yes,On Campus,Arts and Social Sciences,Government,8,Yes,5,10,5,6
19,Male,Indian,Polytechnic Diploma,3.50,NUS,"Location,Job Placement Rate,Faculty Quality",Yes,NTU,8,"Research Oriented,Comprehensive Programs",Research-Driven,Small,Suburban,8,Yes,Commute,Business Analytics,Entrepreneur,7,Yes,9,7,2,6
23,Male,Malaysian,High School Diploma,3.97,NUS,"Job Placement Rate,Campus Facilities,Scholarships",Yes,NTU,9,"Research Oriented,Comprehensive Programs",Lecture-Based,Medium,Suburban,7,No,Commute,Engineering,Researcher,8,Yes,1,8,6,7
23,Male,Vietnamese,High School Diploma,3.09,NUS,"Reputation,Faculty Quality,Campus Facilities",Yes,SUSS,9,"Global Recognition,Strong Alumni Network",Research-Driven,Large,Suburban,4,No,Commute,Engineering,Researcher,9,No,8,3,2,8
22,Prefer not to say,Singaporean,A-Levels,3.03,NUS,"Scholarships,Tuition Fees,Location",Yes,SUTD,8,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Medium,Suburban,5,Yes,Commute,Medicine,Researcher,7,No,5,6,10,9
23,Prefer not to say,Indian,High School Diploma,3.18,NUS,"Location,Campus Facilities,Ranking",Yes,NTU,9,"Comprehensive Programs,Strong Alumni Network",Hands-On,Medium,Suburban,7,No,Commute,Arts and Social Sciences,Researcher,8,Yes,4,4,3,9
24,Other,Indonesian,High School Diploma,3.46,NUS,"Location,Faculty Quality,Specific Course Offerings",Yes,SMU,8,"Comprehensive Programs,Strong Alumni Network",Online/Hybrid,Small,Urban,4,No,Commute,Computer Science,Government,9,No,10,10,3,6
24,Male,Singaporean,IB,3.99,NUS,"Campus Facilities,Faculty Quality,Reputation",Yes,SUSS,9,"Comprehensive Programs,Global Recognition",Hands-On,Medium,Suburban,5,Yes,On Campus,Engineering,Government,7,No,9,2,4,7
19,Other,Other Asian,A-Levels,3.97,NUS,"Reputation,Location,Ranking",Yes,SUTD,7,"Strong Alumni Network,Global Recognition",Lecture-Based,Large,Suburban,9,No,On Campus,Arts and Social Sciences,Researcher,7,Yes,7,8,6,7
23,Female,Singaporean,High School Diploma,3.43,NUS,"Job Placement Rate,Ranking,Tuition Fees",Yes,SMU,7,"Comprehensive Programs,Strong Alumni Network",Hands-On,Medium,Suburban,4,Yes,On Campus,Business Analytics,Government,7,No,2,10,9,9
22,Female,Indonesian,A-Levels,3.71,NUS,"Ranking,Specific Course Offerings,Scholarships",Yes,SUTD,6,"Research Oriented,Comprehensive Programs",Lecture-Based,Large,Suburban,4,No,On Campus,Medicine,Researcher,8,No,10,5,10,7
20,Other,Singaporean,A-Levels,3.56,NUS,"Ranking,Tuition Fees,Specific Course Offerings",Yes,SUSS,9,"Research Oriented,Comprehensive Programs",Research-Driven,Medium,Suburban,1,No,Commute,Computer Science,Entrepreneur,8,Yes,4,4,1,7
19,Male,Other Asian,Polytechnic Diploma,3.43,NUS,"Reputation,Tuition Fees,Campus Facilities",Yes,NTU,9,"Global Recognition,Strong Alumni Network",Lecture-Based,Medium,Urban,10,No,Commute,Law,Researcher,8,No,4,4,8,5
21,Prefer not to say,Malaysian,A-Levels,3.75,NUS,"Location,Reputation,Tuition Fees",Yes,SMU,6,"Global Recognition,Comprehensive Programs",Research-Driven,Large,Suburban,8,No,On Campus,Computer Science,Industry Professional,8,No,3,8,3,6
20,Other,Indonesian,IB,3.82,NUS,"Scholarships,Specific Course Offerings,Reputation",Yes,SUTD,6,"Global Recognition,Comprehensive Programs",Research-Driven,Small,Urban,7,No,On Campus,Computer Science,Researcher,8,Yes,7,7,6,8
21,Other,Other Asian,IB,3.83,NUS,"Reputation,Specific Course Offerings,Scholarships",Yes,SUSS,7,"Global Recognition,Comprehensive Programs",Online/Hybrid,Medium,Suburban,9,No,On Campus,Computer Science,Government,7,Yes,1,10,4,5
20,Prefer not to say,Indonesian,A-Levels,3.17,NUS,"Job Placement Rate,Campus Facilities,Faculty Quality",Yes,SUSS,7,"Research Oriented,Comprehensive Programs",Lecture-Based,Small,Urban,7,Yes,Commute,Arts and Social Sciences,Industry Professional,7,Yes,9,10,4,5
23,Other,Chinese,IB,3.74,NUS,"Campus Facilities,Ranking,Tuition Fees",Yes,SUTD,8,"Research Oriented,Comprehensive Programs",Lecture-Based,Large,Urban,5,Yes,On Campus,Computer Science,NGO/Non-profit,9,Yes,1,1,8,5
23,Male,Vietnamese,IB,3.19,NUS,"Location,Faculty Quality,Specific Course Offerings",Yes,NTU,6,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Small,Suburban,7,Yes,Commute,Business Analytics,Entrepreneur,9,No,6,1,8,5
24,Male,Malaysian,Polytechnic Diploma,3.80,NUS,"Campus Facilities,Ranking,Tuition Fees",Yes,SUSS,6,"Strong Alumni Network,Global Recognition",Research-Driven,Small,Suburban,8,No,Commute,Medicine,Industry Professional,9,No,10,10,3,7
24,Prefer not to say,Indonesian,High School Diploma,3.14,NUS,"Tuition Fees,Scholarships,Job Placement Rate",Yes,SUTD,7,"Research Oriented,Strong Alumni Network",Research-Driven,Medium,Suburban,4,No,Commute,Law,Researcher,9,Yes,6,6,9,5
21,Other,Indian,Polytechnic Diploma,3.21,NUS,"Specific Course Offerings,Tuition Fees,Job Placement Rate",Yes,SUTD,9,"Research Oriented,Comprehensive Programs",Online/Hybrid,Medium,Urban,1,Yes,On Campus,Engineering,Industry Professional,7,Yes,9,7,9,5
19,Other,Vietnamese,High School Diploma,3.41,NUS,"Job Placement Rate,Reputation,Tuition Fees",No,SUTD,7,"Research Oriented,Comprehensive Programs",Online/Hybrid,Small,Suburban,2,Yes,Commute,Arts and Social Sciences,Researcher,9,Yes,4,6,5,9
23,Prefer not to say,Indonesian,High School Diploma,3.71,NUS,"Reputation,Ranking,Job Placement Rate",No,SUSS,9,"Global Recognition,Comprehensive Programs",Hands-On,Small,Suburban,4,No,Commute,Law,Entrepreneur,7,No,5,3,7,9
24,Female,Indonesian,Polytechnic Diploma,3.66,NUS,"Scholarships,Specific Course Offerings,Tuition Fees",Yes,NTU,8,"Global Recognition,Comprehensive Programs",Hands-On,Large,Urban,10,Yes,Commute,Business Analytics,Government,8,Yes,8,3,5,6
