Timestamp,age,gender,nationality,student_status,prior_qualification,prior_gpa,university,second_choice_university,selection_criteria,learning_style,preferred_population,satisfaction_rating,"Provide some phrases to describe your university (“Research Oriented”, “Vibrant Student Lifestyle”, “Collaborative Environment”, etc)",preferred_campus,cost_importance,residence,culture_importance,school,further_education,career_goal,internship_importance,internship_participation,family_influence,friend_influence,social_media_influence,ranking_influence,extracurricular_importance,personality,leadership_role,extracurricular_hours,extracurricular_type,ccas,funding_source,scholarship_significance,Column 39.1,selection_criteria_list,has_scholarship,cca_list,cca_count,extracurricular_type_original,plans_further_education,career_goal_original
16/02/2025 18:02:29,25 - 30,Male,Singaporean,Domestic,A-Levels,78/90,NUS,NTU,"Reputation, Location, Specific Course Offerings",hands-on,Medium,3,Vibrant Student Lifestyle,Urban,6,Commute,7,Engineering,Undecided,Industry Professional,7,0,3,5,3,2,2,Introverted,1,4,Student Club,"Society of Mechanical Engineering, NUS Photographic Society",Family Support,7,,"['Reputation', 'Location', 'Specific Course Offerings']",0,"['Society of Mechanical Engineering', 'NUS Photographic Society']",2,Student Club,0.5,Industry Professional
16/02/2025 18:06:32,25 - 30,Female,Singaporean,Domestic,A-Levels,4.14/5.0,NUS,SMU,"Ranking, Reputation, Job Placement Rate",hands-on,Small,4,"Holistic, Diverse, thought-provoking, self-directed, resourceful.",Suburban,6,Commute,2,Business,No,Industry Professional,10,0,1,1,1,10,2,Introverted,0,9,Sports,Cuesports,Family Support,5,,"['Ranking', 'Reputation', 'Job Placement Rate']",0,['Cuesports'],1,Sports,0.0,Industry Professional
16/02/2025 18:22:40,25 - 30,Male,Singaporean,International,A-Levels,77.5,NTU,NUS,"Reputation, Specific Course Offerings, Faculty Quality",research-driven,Medium,4,Practical Experience,Urban,8,Commute,6,Medicine,Yes,Researcher,6,0,4,3,2,5,1,Ambivert,0,0,,,Student Loan,7,,"['Reputation', 'Specific Course Offerings', 'Faculty Quality']",0,[],0,,1.0,Researcher
16/02/2025 18:27:22,25 - 30,Female,Singaporean,Domestic,Polytechnic Diploma,3.6/4.0,SMU,NTU,"Ranking, Reputation, Location",lecture-based,Medium,4,"competitive, encourage class participation",Urban,9,Commute,8,Business,No,Industry Professional,8,0,8,6,6,9,3,Introverted,0,0,,SMU Operations Management Society,Family Support,9,,"['Ranking', 'Reputation', 'Location']",0,['SMU Operations Management Society'],1,,0.0,Industry Professional
16/02/2025 18:55:19,25 - 30,Female,Singaporean,Domestic,A-Levels,3.45/5.0 GPA,NTU,NUS,"Tuition Fees, Reputation, Faculty Quality",hands-on,Medium,3,Research Oriented,Urban,8,On campus,4,Humanities,Yes,Industry Professional,8,1,1,1,1,6,1,Extroverted,1,4,Social Clubs,,Family Support,9,,"['Tuition Fees', 'Reputation', 'Faculty Quality']",0,[],0,Social Clubs,1.0,Industry Professional
16/02/2025 19:43:38,25 - 30,Male,Singaporean,Domestic,A-Levels,70/90 Rank points,NUS,NTU,"Tuition Fees, Location, Specific Course Offerings",hands-on,Small,5,"Independent Learning, Industry Focused, Vibrant Student Life",Suburban,8,On campus,3,Engineering,Undecided,Industry Professional,8,1,8,4,1,1,1,Introverted,1,12,Sports,"Neighbourhood Committee, Dodgeball, Volunteering, ",Family Support,5,,"['Tuition Fees', 'Location', 'Specific Course Offerings']",0,"['Neighbourhood Committee', 'Dodgeball', 'Volunteering', '']",4,Sports,0.5,Industry Professional
16/02/2025 19:47:55,18 - 24,Male,Singaporean,Domestic,Polytechnic Diploma,3.8,SMU,SMU,"Reputation, Specific Course Offerings, Faculty Quality",hands-on,Small,3,Learning oriented.,Urban,2,Commute,6,Computing/IT,No,Industry Professional,9,0,1,7,4,7,3,Introverted,0,0,,,Student Loan,10,,"['Reputation', 'Specific Course Offerings', 'Faculty Quality']",0,[],0,,0.0,Industry Professional
16/02/2025 22:31:41,18 - 24,Male,Indonesian,International,High School Diploma,95.29/100,NUS,NTU,"Reputation, Job Placement Rate, Alumni Network",hands-on,Small,5,Competitive lifestyle,Suburban,8,On campus,8,Engineering,Undecided,Entrepreneur,9,0,8,5,1,8,4,Ambivert,0,10,Internships,Chemical Engineering Student Society,Scholarship,7,,"['Reputation', 'Job Placement Rate', 'Alumni Network']",1,['Chemical Engineering Student Society'],1,Internships,0.5,Entrepreneur
16/02/2025 22:35:54,Under 18,Male,Indonesian,International,High School Diploma,91.33/100,SMU,SMU,"Scholarships, Specific Course Offerings, Faculty Quality",hands-on,Medium,4,Business Oriented,Urban,9,Commute,1,Computing/IT,Undecided,Entrepreneur,7,0,1,1,1,5,2,Ambivert,1,6,Arts,"Volunteer Work, Choir Club",Scholarship,10,,"['Scholarships', 'Specific Course Offerings', 'Faculty Quality']",1,"['Volunteer Work', 'Choir Club']",2,Arts,0.5,Entrepreneur
16/02/2025 22:40:31,18 - 24,Male,Indonesian,International,High School Diploma,92.5/100,NTU,University of Toronto,"Ranking, Scholarships, Reputation",hands-on,Medium,4,Pretty chill until it's close to midterms or finals,Urban,6,On campus,3,Computing/IT,Undecided,Entrepreneur,10,1,8,7,2,8,2,Introverted,0,1,Internships,Logistics Subcommittee,Scholarship,6,,"['Ranking', 'Scholarships', 'Reputation']",1,['Logistics Subcommittee'],1,Internships,0.5,Entrepreneur
