age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,selection_criteria_list,cca_list,satisfaction_group
18 - 24,Female,International,NUS,3,Self-paced/Individual,Large,Sciences,0.5,Researcher,7,7,8,8,7,7,5,4,7,1,Scholarship,7.0,Commute,Extroverted,1,14,Academic,2,4,Medium,0,5.333333333333333,"['Global Recognition', 'Industry Connections', 'Global Recognition']","['Social Club', 'Professional Club']",Neutral
18 - 24,Male,Domestic,NUS,3,Visual,Large,Sciences,1.0,Researcher,6,7,8,9,7,7,5,5,8,0,Scholarship,7.0,Off campus,Ambivert,0,14,Professional,3,2,Low,1,5.666666666666667,"['Global Recognition', 'Academic Reputation', 'Career Services']","['Social Club', 'Sports Club', 'Research Group']",Neutral
18 - 24,Female,Domestic,NUS,4,Hands-on/Practical,Large,Computing,0.5,Software Engineer,6,8,7,9,6,6,6,5,7,0,Scholarship,6.5,On campus,Ambivert,0,16,Academic,2,2,Low,1,5.666666666666667,"['Global Recognition', 'Research Opportunities', 'Research Opportunities']","['Social Club', 'Research Group']",Satisfied
18 - 24,Female,International,NUS,4,Self-paced/Individual,Large,Computing,0.5,Researcher,6,7,8,8,7,8,5,5,8,1,Family,7.0,Off campus,Introverted,1,11,Social,2,4,Medium,1,6.0,"['Scholarship Opportunities', 'Academic Reputation', 'Academic Reputation']","['Academic Society', 'Academic Society']",Satisfied
18 - 24,Male,Domestic,NUS,3,Theoretical,Large,Arts,1.0,Software Engineer,7,8,8,9,6,8,5,4,7,1,Family,7.0,On campus,Introverted,0,12,Professional,1,1,Low,1,5.666666666666667,"['Career Services', 'International Exposure', 'Research Opportunities']",['Academic Society'],Neutral
18 - 24,Male,Domestic,NUS,4,Hands-on/Practical,Large,Computing,1.0,Business Analyst,7,7,7,8,6,7,5,4,7,0,Family,7.0,Commute,Ambivert,0,17,Professional,5,4,Medium,1,5.333333333333333,"['Global Recognition', 'Academic Reputation', 'Global Recognition']","['Research Group', 'Academic Society', 'Social Club', 'Sports Club', 'Professional Club']",Satisfied
18 - 24,Male,Domestic,NUS,4,Self-paced/Individual,Large,Computing,0.5,Data Scientist,7,7,7,8,6,6,5,4,7,1,Loan,7.0,Off campus,Extroverted,0,14,Academic,3,2,Low,1,5.0,"['Academic Reputation', 'Academic Reputation', 'International Exposure']","['Cultural Club', 'Sports Club', 'Cultural Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Visual,Large,Engineering,1.0,Business Analyst,6,7,8,8,7,6,5,5,8,1,Scholarship,7.0,On campus,Introverted,0,15,Professional,2,2,Low,1,5.333333333333333,"['Research Opportunities', 'Academic Reputation', 'Research Opportunities']","['Research Group', 'Social Club']",Satisfied
18 - 24,Male,Domestic,NUS,4,Hands-on/Practical,Large,Business,0.5,Data Scientist,6,8,8,9,6,6,6,4,8,0,Scholarship,7.0,Off campus,Introverted,0,13,Professional,2,2,Low,1,5.333333333333333,"['Global Recognition', 'Academic Reputation', 'Global Recognition']","['Sports Club', 'Professional Club']",Satisfied
18 - 24,Male,International,NUS,3,Theoretical,Large,Sciences,1.0,Product Manager,7,8,8,9,6,6,5,5,8,0,Scholarship,7.5,Commute,Ambivert,0,15,Professional,3,3,Medium,1,5.333333333333333,"['Industry Connections', 'Academic Reputation', 'Academic Reputation']","['Research Group', 'Academic Society', 'Social Club']",Neutral
18 - 24,Male,Domestic,NUS,4,Self-paced/Individual,Large,Sciences,0.5,Business Analyst,6,8,8,9,7,6,6,5,8,1,Loan,7.0,Commute,Introverted,0,13,Sports,3,2,Low,1,5.666666666666667,"['Academic Reputation', 'Faculty Quality', 'Research Opportunities']","['Professional Club', 'Academic Society', 'Sports Club']",Satisfied
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Sciences,0.5,Data Scientist,6,8,8,8,6,6,6,5,8,0,Scholarship,7.0,Commute,Extroverted,0,14,Academic,2,2,Low,1,5.666666666666667,"['Academic Reputation', 'Scholarship Opportunities', 'Academic Reputation']","['Sports Club', 'Academic Society']",Satisfied
18 - 24,Female,Domestic,NUS,4,Group-based,Large,Sciences,0.5,Consultant,6,8,8,9,6,7,6,4,8,0,Scholarship,7.0,On campus,Extroverted,1,19,Arts,4,5,Medium,0,5.666666666666667,"['Global Recognition', 'Career Services', 'Global Recognition']","['Professional Club', 'Cultural Club', 'Academic Society', 'Sports Club']",Satisfied
18 - 24,Male,Domestic,NUS,4,Visual,Large,Computing,0.0,Business Analyst,6,7,7,8,7,6,6,5,8,1,Family,7.0,Off campus,Extroverted,0,17,Academic,4,3,Medium,1,5.666666666666667,"['Research Opportunities', 'International Exposure', 'Academic Reputation']","['Cultural Club', 'Professional Club', 'Professional Club', 'Cultural Club']",Satisfied
18 - 24,Male,International,NUS,3,Visual,Large,Computing,0.5,Researcher,6,7,8,9,7,6,6,4,8,1,Scholarship,7.0,On campus,Extroverted,0,15,Social,2,2,Low,0,5.333333333333333,"['Academic Reputation', 'Research Opportunities', 'International Exposure']","['Cultural Club', 'Research Group']",Neutral
18 - 24,Female,Domestic,NUS,4,Visual,Large,Sciences,1.0,Software Engineer,7,8,7,9,7,7,5,5,7,0,Family,7.0,Off campus,Extroverted,1,16,Community,3,5,Medium,1,5.666666666666667,"['Academic Reputation', 'Research Opportunities', 'Career Services']","['Cultural Club', 'Social Club', 'Research Group']",Satisfied
18 - 24,Male,Domestic,NUS,3,Theoretical,Large,Medicine,1.0,Entrepreneur,7,7,8,8,7,6,6,5,7,0,Family,7.0,On campus,Extroverted,1,17,Community,4,5,Medium,0,5.666666666666667,"['Academic Reputation', 'Academic Reputation', 'Career Services']","['Cultural Club', 'Research Group', 'Research Group', 'Professional Club']",Neutral
18 - 24,Female,Domestic,NUS,4,Theoretical,Large,Engineering,1.0,Business Analyst,6,8,6,8,7,6,5,5,8,1,Family,7.0,Off campus,Introverted,1,18,Professional,2,4,Medium,1,5.333333333333333,"['Scholarship Opportunities', 'Global Recognition', 'International Exposure']","['Research Group', 'Academic Society']",Satisfied
