age,gender,nationality,qualification,high_school_gpa,university,selection_criteria,considered_others,second_choice,satisfaction,university_tags,learning_style,population_preference,campus_setting,cost_importance,scholarship,living,major,career_goal,internship_importance,university_internship,family_influence,friend_influence,social_media_influence,ranking_influence
21,Other,Singaporean,IB,3.52,NUS,"Campus Facilities,Specific Course Offerings,Ranking",true,SUSS,7,"Research Oriented,Global Recognition",Lecture-Based,Medium,Urban,8,true,On Campus,Computer Science,Researcher,7,true,6,7,8,5
23,Female,Singaporean,High School Diploma,3.25,NUS,"Faculty Quality,Ranking,Tuition Fees",true,NTU,6,"Research Oriented,Global Recognition",Hands-On,Medium,Urban,8,false,Commute,Medicine,Government,7,false,10,5,6,9
23,Male,Singaporean,IB,3.19,NUS,"Specific Course Offerings,Scholarships,Reputation",true,SUTD,6,"Comprehensive Programs,Strong Alumni Network",Lecture-Based,Medium,Suburban,10,false,On Campus,Business Analytics,Government,8,true,5,1,10,7
22,Female,Singaporean,IB,3.81,NUS,"Campus Facilities,Reputation,Ranking",true,SUSS,6,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Large,Suburban,3,false,On Campus,Business Analytics,NGO/Non-profit,8,true,7,3,10,7
22,Female,Singaporean,Polytechnic Diploma,3.84,NUS,"Reputation,Specific Course Offerings,Ranking",true,SIT,6,"Comprehensive Programs,Strong Alumni Network",Online/Hybrid,Small,Suburban,9,false,On Campus,Arts and Social Sciences,NGO/Non-profit,7,true,7,7,4,6
23,Female,Singaporean,Polytechnic Diploma,3.02,NUS,"Tuition Fees,Reputation,Scholarships",true,NTU,8,"Strong Alumni Network,Comprehensive Programs",Lecture-Based,Large,Suburban,6,false,On Campus,Law,Government,9,true,7,6,4,5
23,Male,Singaporean,Polytechnic Diploma,3.96,NUS,"Reputation,Tuition Fees,Campus Facilities",true,SIT,6,"Research Oriented,Comprehensive Programs",Online/Hybrid,Medium,Urban,9,false,On Campus,Business Analytics,NGO/Non-profit,7,true,8,2,5,6
19,Other,Singaporean,High School Diploma,3.84,NUS,"Scholarships,Campus Facilities,Tuition Fees",true,SUSS,6,"Research Oriented,Global Recognition",Online/Hybrid,Large,Urban,4,false,On Campus,Medicine,Researcher,8,true,7,7,4,5
22,Female,Singaporean,High School Diploma,3.83,NUS,"Reputation,Ranking,Job Placement Rate",true,SMU,6,"Strong Alumni Network,Comprehensive Programs",Research-Driven,Large,Urban,4,false,Commute,Law,NGO/Non-profit,7,true,1,9,5,5
24,Male,Singaporean,High School Diploma,3.56,NUS,"Campus Facilities,Tuition Fees,Specific Course Offerings",false,SUTD,9,"Comprehensive Programs,Research Oriented",Lecture-Based,Medium,Urban,4,false,Commute,Medicine,Researcher,7,true,10,10,2,6
23,Female,Singaporean,Polytechnic Diploma,3.83,NUS,"Location,Reputation,Scholarships",true,SMU,7,"Comprehensive Programs,Research Oriented",Hands-On,Medium,Suburban,8,false,Commute,Business Analytics,NGO/Non-profit,9,false,7,3,4,5
22,Prefer not to say,Singaporean,A-Levels,3.16,NUS,"Ranking,Tuition Fees,Faculty Quality",true,SUSS,6,"Strong Alumni Network,Research Oriented",Research-Driven,Small,Urban,5,false,On Campus,Business Analytics,Industry Professional,7,false,8,4,6,5
23,Male,Singaporean,Polytechnic Diploma,3.68,NUS,"Job Placement Rate,Ranking,Tuition Fees",true,SUTD,7,"Research Oriented,Strong Alumni Network",Lecture-Based,Medium,Suburban,8,false,Commute,Engineering,Government,9,true,8,10,10,9
20,Prefer not to say,Singaporean,High School Diploma,3.00,NUS,"Reputation,Specific Course Offerings,Faculty Quality",true,SUTD,7,"Research Oriented,Strong Alumni Network",Lecture-Based,Large,Urban,10,false,On Campus,Law,NGO/Non-profit,8,true,7,1,5,7
